gene_id,novel_isoform_count,gene_name
ENSMUSG00000027466,2,Rbck1
ENSMUSG00000058655,2,Eif4b
16:35517000,2,NA
16:34929000,2,NA
12:44358000,2,NA
ENSMUSG00000027546,2,Atp9a
ENSMUSG00000029655,2,N4bp2l2
ENSMUSG00000059456,2,Ptk2b
3:87446000,2,NA
ENSMUSG00000059208,2,Hnrnpm
9:119755000,2,NA
16:38064000,2,NA
11:19972000,2,NA
11:16867000,2,NA
ENSMUSG00000038393,2,Txnip
3:105875000,2,NA
15:8699000,2,NA
12:110824000,2,NA
ENSMUSG00000024695,2,Zfp91
ENSMUSG00000028821,2,Syf2
11:20012000,2,NA
ENSMUSG00000059326,2,Csf2ra
ENSMUSG00000028820,2,Sfpq
1:135962000,2,NA
ENSMUSG00000001911,2,Nfix
12:97028000,2,NA
ENSMUSG00000026260,2,Ndufa10
15:5210000,2,NA
ENSMUSG00000027559,2,Car3
ENSMUSG00000029720,2,Gm20605
ENSMUSG00000038406,2,Scaf1
ENSMUSG00000060601,2,Nr1h2
ENSMUSG00000029392,2,Rilpl1
ENSMUSG00000027931,2,Npr1
7:127090000,2,NA
ENSMUSG00000027968,2,Larp7
ENSMUSG00000041921,2,Metap1d
7:34749000,2,NA
ENSMUSG00000029472,2,Anapc5
ENSMUSG00000028034,2,Fubp1
7:126796000,2,NA
3:157712000,2,NA
ENSMUSG00000029467,2,Atp2a2
ENSMUSG00000028076,2,Cd1d1
ENSMUSG00000029439,2,Sfswap
ENSMUSG00000055322,2,Tns1
ENSMUSG00000055319,2,Sec23ip
ENSMUSG00000029422,2,Rsrc2
ENSMUSG00000041057,2,Wdr43
1:21335000,2,NA
ENSMUSG00000055436,2,Srsf11
ENSMUSG00000041548,2,Hspb8
ENSMUSG00000060036,2,Rpl3
11:82918000,2,NA
ENSMUSG00000060475,2,Wtap
3:88555000,2,NA
16:43460000,2,NA
ENSMUSG00000060373,2,Hnrnpc
ENSMUSG00000060216,2,Arrb2
ENSMUSG00000029311,2,Hsd17b11
3:108265000,2,NA
1:185018000,2,NA
1:190678000,2,NA
12:76984000,2,NA
ENSMUSG00000042354,2,Gnl3
16:3900000,2,NA
ENSMUSG00000059895,2,Ptp4a3
ENSMUSG00000027303,2,Ptpra
ENSMUSG00000027309,2,Dnaaf9
10:62855000,1,NA
10:58257000,1,NA
10:58260000,1,NA
10:58330000,1,NA
10:59061000,1,NA
10:59207000,1,NA
10:62781000,1,NA
10:75340000,1,NA
10:7698000,1,NA
10:76187000,1,NA
10:7592000,1,NA
10:75385000,1,NA
10:75472000,1,NA
10:58141000,1,NA
10:7590000,1,NA
10:75679000,1,NA
10:52313000,1,NA
10:57388000,1,NA
10:59232000,1,NA
10:62265000,1,NA
10:62291000,1,NA
10:62329000,1,NA
10:62416000,1,NA
10:59734000,1,NA
10:59282000,1,NA
10:62849000,1,NA
10:56265000,1,NA
10:52213000,1,NA
10:52314000,1,NA
10:53149000,1,NA
10:53780000,1,NA
10:55992000,1,NA
10:56264000,1,NA
10:56374000,1,NA
10:76098000,1,NA
10:67380000,1,NA
10:76392000,1,NA
11:55310000,1,NA
