ids	SRR33470049_nocondition_nobatch
ENSMUST00000006462_ENSMUSG00000006299	79.0
ENSMUST00000006478_ENSMUSG00000006315	27.0
ENSMUST00000006496_ENSMUSG00000006333	298.0
ENSMUST00000006523_ENSMUSG00000006360	299.0
ENSMUST00000006565_ENSMUSG00000006398	4.0
ENSMUST00000006587_ENSMUSG00000090213	15.0
ENSMUST00000006611_ENSMUSG00000006442	30.0
ENSMUST00000006701_ENSMUSG00000006526	18.0
ENSMUST00000006764_ENSMUSG00000006589	17.0
ENSMUST00000006774_ENSMUSG00000006599	6.0
ENSMUST00000006900_ENSMUSG00000006717	30.0
ENSMUST00000006911_ENSMUSG00000006728	19.0
ENSMUST00000006956_ENSMUSG00000040026	4.0
ENSMUST00000007005_ENSMUSG00000023832	27.0
ENSMUST00000007012_ENSMUSG00000006818	68.0
ENSMUST00000007131_ENSMUSG00000020917	97.0
ENSMUST00000007139_ENSMUSG00000006941	18.0
ENSMUST00000007212_ENSMUSG00000006998	37.0
ENSMUST00000007253_ENSMUSG00000007038	16.0
ENSMUST00000007257_ENSMUSG00000007041	37.0
ENSMUST00000007317_ENSMUSG00000020911	5.0
ENSMUST00000007482_ENSMUSG00000007338	4.0
ENSMUST00000007533_ENSMUSG00000078656	4.0
ENSMUST00000007559_ENSMUSG00000007415	11.0
ENSMUST00000007602_ENSMUSG00000007458	51.0
ENSMUST00000007708_ENSMUSG00000007564	68.0
ENSMUST00000007814_ENSMUSG00000007670	29.0
ENSMUST00000007865_ENSMUSG00000007721	14.0
ENSMUST00000007921_ENSMUSG00000007777	16.0
ENSMUST00000007959_ENSMUSG00000007815	70.0
ENSMUST00000008004_ENSMUSG00000057788	3.0
ENSMUST00000008016_ENSMUSG00000007872	123.0
ENSMUST00000008036_ENSMUSG00000007892	239.0
ENSMUST00000008445_ENSMUSG00000008301	16.0
ENSMUST00000008537_ENSMUSG00000008393	58.0
ENSMUST00000008573_ENSMUSG00000008429	12.0
ENSMUST00000008684_ENSMUSG00000008540	450.0
ENSMUST00000008748_ENSMUSG00000008604	21.0
ENSMUST00000008812_ENSMUSG00000008668	24.0
ENSMUST00000008878_ENSMUSG00000008734	7.0
ENSMUST00000008893_ENSMUSG00000024835	74.0
ENSMUST00000008966_ENSMUSG00000008822	16.0
ENSMUST00000009003_ENSMUSG00000008859	22.0
ENSMUST00000009102_ENSMUSG00000008958	16.0
ENSMUST00000009157_ENSMUSG00000009013	31.0
ENSMUST00000009220_ENSMUSG00000009076	13.0
ENSMUST00000009329_ENSMUSG00000009185	3.0
ENSMUST00000009425_ENSMUSG00000009281	28.0
ENSMUST00000009435_ENSMUSG00000009291	71.0
ENSMUST00000009679_ENSMUSG00000009535	9.0
ENSMUST00000009693_ENSMUSG00000009549	47.0
ENSMUST00000009774_ENSMUSG00000009630	31.0
ENSMUST00000009777_ENSMUSG00000009633	218.0
ENSMUST00000010007_ENSMUSG00000009863	89.0
ENSMUST00000010020_ENSMUSG00000009876	6.0
ENSMUST00000010189_ENSMUSG00000010045	10.0
ENSMUST00000010191_ENSMUSG00000010047	13.0
ENSMUST00000010192_ENSMUSG00000010048	13.0
ENSMUST00000010198_ENSMUSG00000010054	9.0
ENSMUST00000010201_ENSMUSG00000010057	5.0
ENSMUST00000010211_ENSMUSG00000010067	22.0
ENSMUST00000010239_ENSMUSG00000010095	18.0
ENSMUST00000010248_ENSMUSG00000117924	25.0
ENSMUST00000010249_ENSMUSG00000118346	8.0
ENSMUST00000010348_ENSMUSG00000079677	18.0
ENSMUST00000010502_ENSMUSG00000010358	16.0
ENSMUST00000010506_ENSMUSG00000010362	12.0
ENSMUST00000010520_ENSMUSG00000010376	85.0
ENSMUST00000010550_ENSMUSG00000010406	62.0
ENSMUST00000010795_ENSMUSG00000010651	35.0
ENSMUST00000010804_ENSMUSG00000010660	16.0
ENSMUST00000011055_ENSMUSG00000010911	29.0
ENSMUST00000011058_ENSMUSG00000010914	16.0
ENSMUST00000011526_ENSMUSG00000011382	22.0
ENSMUST00000011896_ENSMUSG00000011752	10.0
ENSMUST00000012028_ENSMUSG00000011884	51.0
ENSMUST00000012331_ENSMUSG00000012187	22.0
ENSMUST00000012348_ENSMUSG00000040562	84.0
ENSMUST00000012627_ENSMUSG00000012483	9.0
ENSMUST00000012849_ENSMUSG00000012705	1279.0
ENSMUST00000013304_ENSMUSG00000013160	65.0
ENSMUST00000013633_ENSMUSG00000008090	10.0
ENSMUST00000013693_ENSMUSG00000029213	17.0
ENSMUST00000013737_ENSMUSG00000013593	65.0
ENSMUST00000013766_ENSMUSG00000013622	65.0
ENSMUST00000013842_ENSMUSG00000013698	10.0
ENSMUST00000013931_ENSMUSG00000013787	37.0
ENSMUST00000013966_ENSMUSG00000013822	34.0
ENSMUST00000014220_ENSMUSG00000014075	4.0
ENSMUST00000014221-1_ENSMUSG00000014077	252.0
ENSMUST00000014321_ENSMUSG00000014177	22.0
ENSMUST00000014339_ENSMUSG00000014195	16.0
ENSMUST00000014370_ENSMUSG00000014226	11.0
ENSMUST00000014438_ENSMUSG00000014294	253.0
ENSMUST00000014457_ENSMUSG00000014313	446.0
ENSMUST00000014546_ENSMUSG00000014402	49.0
ENSMUST00000014614_ENSMUSG00000014470	8.0
ENSMUST00000014684_ENSMUSG00000061613	12.0
ENSMUST00000014698_ENSMUSG00000014554	10.0
ENSMUST00000014743_ENSMUSG00000014599	11.0
ENSMUST00000014750_ENSMUSG00000014606	30.0
ENSMUST00000014777_ENSMUSG00000052560	7.0
ENSMUST00000014892_ENSMUSG00000014748	27.0
ENSMUST00000014913_ENSMUSG00000014769	74.0
ENSMUST00000014920_ENSMUSG00000014776	25.0
ENSMUST00000014990_ENSMUSG00000014846	19.0
ENSMUST00000015000_ENSMUSG00000014856	13.0
ENSMUST00000015003_ENSMUSG00000014859	10.0
ENSMUST00000015011_ENSMUSG00000014867	50.0
ENSMUST00000015049_ENSMUSG00000014905	12.0
ENSMUST00000015100_ENSMUSG00000014956	54.0
ENSMUST00000015157_ENSMUSG00000015013	17.0
ENSMUST00000015236_ENSMUSG00000015092	76.0
ENSMUST00000015239_ENSMUSG00000015095	26.0
ENSMUST00000015391_ENSMUSG00000015247	20.0
ENSMUST00000015433_ENSMUSG00000015289	20.0
ENSMUST00000015467_ENSMUSG00000052310	64.0
ENSMUST00000015481_ENSMUSG00000015337	7.0
ENSMUST00000015498_ENSMUSG00000015354	9.0
ENSMUST00000015501_ENSMUSG00000015357	16.0
ENSMUST00000015605_ENSMUSG00000015461	12.0
ENSMUST00000015622_ENSMUSG00000015478	3.0
ENSMUST00000015680_ENSMUSG00000015536	30.0
ENSMUST00000015712_ENSMUSG00000015568	629.0
ENSMUST00000015719_ENSMUSG00000015575	110.0
ENSMUST00000015800_ENSMUSG00000015656	94.0
ENSMUST00000015812_ENSMUSG00000015668	14.0
ENSMUST00000015855_ENSMUSG00000015711	8.0
ENSMUST00000015858_ENSMUSG00000015714	44.0
ENSMUST00000015877_ENSMUSG00000015733	26.0
ENSMUST00000015889_ENSMUSG00000015745	14.0
ENSMUST00000015903_ENSMUSG00000015759	54.0
ENSMUST00000015934_ENSMUSG00000015790	18.0
ENSMUST00000015950_ENSMUSG00000015806	32.0
ENSMUST00000015981_ENSMUSG00000015837	7.0
ENSMUST00000016087_ENSMUSG00000015943	19.0
ENSMUST00000016105_ENSMUSG00000015961	9.0
ENSMUST00000016138_ENSMUSG00000015994	41.0
ENSMUST00000016144_ENSMUSG00000021759	23.0
ENSMUST00000016168_ENSMUSG00000016024	116.0
ENSMUST00000016231_ENSMUSG00000016087	17.0
ENSMUST00000016309_ENSMUSG00000006301	53.0
ENSMUST00000016338_ENSMUSG00000016194	44.0
ENSMUST00000016396_ENSMUSG00000016252	239.0
ENSMUST00000016400_ENSMUSG00000016256	40.0
ENSMUST00000016401_ENSMUSG00000016257	18.0
ENSMUST00000016463_ENSMUSG00000016319	122.0
ENSMUST00000016571_ENSMUSG00000016427	217.0
ENSMUST00000016638_ENSMUSG00000016494	48.0
ENSMUST00000016672_ENSMUSG00000016528	53.0
ENSMUST00000016678_ENSMUSG00000016534	32.0
ENSMUST00000016703_ENSMUSG00000016559	43.0
ENSMUST00000016781_ENSMUSG00000016637	18.0
ENSMUST00000016902_ENSMUSG00000016758	8.0
ENSMUST00000016977_ENSMUSG00000016833	28.0
ENSMUST00000017090_ENSMUSG00000016946	6.0
ENSMUST00000017153_ENSMUSG00000017009	5.0
ENSMUST00000017332_ENSMUSG00000017188	36.0
ENSMUST00000017365_ENSMUSG00000017221	26.0
ENSMUST00000017430_ENSMUSG00000017286	27.0
ENSMUST00000017443_ENSMUSG00000017299	8.0
ENSMUST00000017453_ENSMUSG00000017309	34.0
ENSMUST00000017548_ENSMUSG00000017404	115.0
ENSMUST00000017567_ENSMUSG00000017421	5.0
ENSMUST00000017572_ENSMUSG00000017428	5.0
ENSMUST00000017590_ENSMUSG00000017446	10.0
ENSMUST00000017604_ENSMUSG00000006519	28.0
ENSMUST00000017610_ENSMUSG00000017466	24.0
ENSMUST00000017637_ENSMUSG00000017493	286.0
ENSMUST00000017851_ENSMUSG00000017707	252.0
ENSMUST00000017922_ENSMUSG00000017778	12.0
ENSMUST00000017975_ENSMUSG00000017831	6.0
ENSMUST00000017981_ENSMUSG00000017837	10.0
ENSMUST00000018002_ENSMUSG00000017858	10.0
ENSMUST00000018113_ENSMUSG00000017969	9.0
ENSMUST00000018156_ENSMUSG00000018012	5.0
ENSMUST00000018186_ENSMUSG00000018042	38.0
ENSMUST00000018246_ENSMUSG00000018102	95.0
ENSMUST00000018311_ENSMUSG00000018167	22.0
ENSMUST00000018315_ENSMUSG00000018171	29.0
ENSMUST00000018333_ENSMUSG00000018189	6.0
ENSMUST00000018361_ENSMUSG00000018217	71.0
ENSMUST00000018430_ENSMUSG00000018286	68.0
ENSMUST00000018431_ENSMUSG00000018287	43.0
ENSMUST00000018437_ENSMUSG00000018293	55.0
ENSMUST00000018470_ENSMUSG00000018326	77.0
ENSMUST00000018568_ENSMUSG00000020537	25.0
ENSMUST00000018569_ENSMUSG00000018425	15.0
ENSMUST00000018593_ENSMUSG00000018449	6.0
ENSMUST00000018653_ENSMUSG00000018509	18.0
ENSMUST00000018711_ENSMUSG00000018567	178.0
ENSMUST00000018713_ENSMUSG00000018569	4.0
ENSMUST00000018716_ENSMUSG00000018572	13.0
ENSMUST00000018727_ENSMUSG00000018583	30.0
ENSMUST00000018737_ENSMUSG00000018593	130.0
ENSMUST00000018767_ENSMUSG00000018623	36.0
ENSMUST00000018816_ENSMUSG00000018672	36.0
ENSMUST00000018821_ENSMUSG00000018677	68.0
ENSMUST00000018841_ENSMUSG00000018697	10.0
ENSMUST00000018905_ENSMUSG00000018761	40.0
ENSMUST00000018914_ENSMUSG00000018770	129.0
ENSMUST00000018918_ENSMUSG00000018774	15.0
ENSMUST00000018965_ENSMUSG00000018821	9.0
ENSMUST00000018966_ENSMUSG00000018822	36.0
ENSMUST00000019026_ENSMUSG00000018882	20.0
ENSMUST00000019064_ENSMUSG00000018920	3.0
